##### /gpfs1/active/jose/projects/nonhomol_pdbJul05/all_alpha/summaryMoreABelow200Filt.all
#NSS, all[NSS], N(TM | NSS), Pf(TM | NSS), error, N(Z | NSS), Pf(Z | NSS), error, L, allL[L], N(TM | L), Pf(TM | L), error
 5  19   8  42.1  11.3   7  36.8  11.1   50   6   4   66.7  19.2
 6  41  23  56.1   7.8  18  43.9   7.8   60  11   6   54.5  15.0
 7  41  19  46.3   7.8  18  43.9   7.8   70  15   6   40.0  12.6
 8  53  26  49.1   6.9  24  45.3   6.8   80  17  11   64.7  11.6
 9  53  13  24.5   5.9  19  35.8   6.6   90  29  20   69.0   8.6
10  52  14  26.9   6.2  12  23.1   5.8  100  34  17   50.0   8.6
11  19   0   0.0   0.0   4  21.1   9.4  110  43  15   34.9   7.3
12  20   1   5.0   4.9   1   5.0   4.9  120  33  15   45.5   8.7
13  18   1   5.6   5.4   1   5.6   5.4  130  26   3   11.5   6.3
14  16   0   0.0   0.0   2  12.5   8.3  140  23   3   13.0   7.0
15   6   0   0.0   0.0   1  16.7  15.2  150  32   5   15.6   6.4
16   4   0   0.0   0.0   0   0.0   0.0  160  19   3   15.8   8.4
17   3   0   0.0   0.0   1  33.3  27.2  170  23   3   13.0   7.0
18   1   0   0.0   0.0   0   0.0   0.0  180  27   0    0.0   0.0
19   1   0   0.0   0.0   0   0.0   0.0  190  22   0    0.0   0.0
20   1   0   0.0   0.0   0   0.0   0.0  200   1   0    0.0   0.0
21   1   0   0.0   0.0   0   0.0   0.0  210   1   0    0.0   0.0
##### /gpfs1/active/jose/projects/nonhomol_pdbJul05/alpha_beta/summaryMoreAplusBBelow200Filt.all
#NSS, all[NSS], N(TM | NSS), Pf(TM | NSS), error, N(Z | NSS), Pf(Z | NSS), error, L, allL[L], N(TM | L), Pf(TM | L), error
 0   1   0   0.0   0.0   0   0.0   0.0    0   1   0    0.0   0.0
 1   1   0   0.0   0.0   0   0.0   0.0   10   1   0    0.0   0.0
 2   2   0   0.0   0.0   0   0.0   0.0   20   1   0    0.0   0.0
 3   8   5  62.5  17.1   2  25.0  15.3   30   1   0    0.0   0.0
 4  15   9  60.0  12.6   7  46.7  12.9   40   1   1  100.0   0.0
 5  27  20  74.1   8.4  18  66.7   9.1   50   5   2   40.0  21.9
 6  67  50  74.6   5.3  41  61.2   6.0   60  12   9   75.0  12.5
 7  58  36  62.1   6.4  30  51.7   6.6   70  22  15   68.2   9.9
 8  45  27  60.0   7.3  22  48.9   7.5   80  23  22   95.7   4.3
 9  39  11  28.2   7.2  14  35.9   7.7   90  34  26   76.5   7.3
10  44  15  34.1   7.1  17  38.6   7.3  100  39  28   71.8   7.2
11  18   4  22.2   9.8   4  22.2   9.8  110  33  16   48.5   8.7
12  19   0   0.0   0.0   1   5.3   5.1  120  27  13   48.1   9.6
13  11   0   0.0   0.0   0   0.0   0.0  130  34  16   47.1   8.6
14   7   0   0.0   0.0   1  14.3  13.2  140  39  11   28.2   7.2
15   6   1  16.7  15.2   1  16.7  15.2  150  23  10   43.5  10.3
16   1   0   0.0   0.0   0   0.0   0.0  160  21   4   19.0   8.6
17   1   0   0.0   0.0   0   0.0   0.0  170  22   3   13.6   7.3
18   1   0   0.0   0.0   0   0.0   0.0  180  16   2   12.5   8.3
19   1   0   0.0   0.0   0   0.0   0.0  190  16   0    0.0   0.0
20   1   0   0.0   0.0   0   0.0   0.0  200   1   0    0.0   0.0
21   1   0   0.0   0.0   0   0.0   0.0  210   1   0    0.0   0.0
