#    time    ss1   ss2   ss3   ss4  
    3220.0  0.23  0.55  0.17  0.26  
    3240.0  0.23  0.70  0.15  0.26  
    3260.0  0.16  0.50  0.17  0.19  
    3280.0  0.19  0.65  0.15  0.26  
    3300.0  0.29  0.55  0.14  0.32  
    3320.0  0.23  0.50  0.10  0.35  
    3340.0  0.34  0.35  0.15  0.29  
    3360.0  0.43  0.40  0.14  0.32  
    3380.0  0.46  0.65  0.16  0.35  
    3400.0  0.47  0.60  0.15  0.26  
    3420.0  0.33  0.50  0.14  0.26  
    3440.0  0.37  0.55  0.17  0.32  
    3460.0  0.33  0.45  0.17  0.42  
    3480.0  0.31  0.50  0.14  0.29  
    3500.0  0.40  0.65  0.13  0.39  
    3520.0  0.37  0.25  0.13  0.42  
    3540.0  0.36  0.20  0.11  0.23  
    3560.0  0.43  0.60  0.10  0.32  
    3580.0  0.30  0.40  0.18  0.32  
    3600.0  0.41  0.70  0.18  0.32  
    3620.0  0.37  0.55  0.15  0.35  
    3640.0  0.37  0.55  0.20  0.32  
    3660.0  0.37  0.60  0.16  0.29  
    3680.0  0.37  0.50  0.14  0.23  
    3700.0  0.37  0.45  0.18  0.42  
    3720.0  0.31  0.40  0.17  0.35  
    3740.0  0.29  0.50  0.21  0.32  
    3760.0  0.36  0.45  0.20  0.32  
    3780.0  0.40  0.40  0.15  0.26  
    3800.0  0.39  0.40  0.11  0.29  
    3820.0  0.34  0.65  0.17  0.35  
    3840.0  0.40  0.55  0.13  0.39  
    3860.0  0.47  0.65  0.07  0.29  
    3880.0  0.43  0.65  0.16  0.39  
    3900.0  0.36  0.60  0.15  0.26  
    3920.0  0.29  0.60  0.11  0.32  
    3940.0  0.34  0.55  0.14  0.13  
    3960.0  0.43  0.55  0.13  0.19  
    3980.0  0.37  0.65  0.09  0.32  
    4000.0  0.34  0.40  0.13  0.39  
    4020.0  0.27  0.70  0.21  0.23  
    4040.0  0.29  0.65  0.14  0.32  
    4060.0  0.39  0.60  0.10  0.35  
    4080.0  0.37  0.40  0.16  0.26  
    4100.0  0.33  0.50  0.13  0.23  
    4120.0  0.41  0.35  0.14  0.19  
    4140.0  0.37  0.30  0.16  0.26  
    4160.0  0.39  0.55  0.17  0.26  
    4180.0  0.37  0.55  0.13  0.26  
    4200.0  0.47  0.40  0.14  0.29  
    4220.0  0.27  0.40  0.14  0.35  
    4240.0  0.31  0.40  0.15  0.29  
    4260.0  0.43  0.50  0.14  0.26  
    4280.0  0.36  0.40  0.09  0.19  
    4300.0  0.44  0.55  0.15  0.29  
    4320.0  0.49  0.70  0.15  0.32  
    4340.0  0.51  0.45  0.16  0.35  
    4360.0  0.49  0.40  0.17  0.32  
    4380.0  0.39  0.70  0.11  0.32  
    4400.0  0.60  0.35  0.14  0.26  
    4420.0  0.54  0.75  0.15  0.26  
    4440.0  0.64  0.50  0.13  0.29  
    4460.0  0.44  0.45  0.14  0.23  
    4480.0  0.57  0.40  0.11  0.23  
    4500.0  0.50  0.40  0.28  0.23  
    4520.0  0.54  0.40  0.26  0.29  
    4540.0  0.63  0.45  0.21  0.39  
    4560.0  0.61  0.60  0.29  0.29  
    4580.0  0.46  0.30  0.21  0.39  
    4600.0  0.61  0.55  0.29  0.39  
    4620.0  0.56  0.50  0.28  0.39  
    4640.0  0.44  0.55  0.20  0.29  
    4660.0  0.51  0.45  0.24  0.42  
    4680.0  0.50  0.35  0.30  0.32  
    4700.0  0.54  0.40  0.25  0.29  
    4720.0  0.49  0.60  0.25  0.32  
    4740.0  0.54  0.45  0.22  0.32  
    4760.0  0.54  0.60  0.24  0.39  
    4780.0  0.56  0.55  0.24  0.35  
    4800.0  0.59  0.15  0.26  0.39  
    4820.0  0.59  0.55  0.31  0.35  
    4840.0  0.59  0.30  0.25  0.39  
    4860.0  0.59  0.45  0.26  0.35  
    4880.0  0.56  0.50  0.34  0.32  
    4900.0  0.50  0.50  0.33  0.26  
    4920.0  0.59  0.55  0.33  0.39  
    4940.0  0.66  0.25  0.30  0.42  
    4960.0  0.57  0.30  0.33  0.35  
    4980.0  0.54  0.60  0.30  0.29  
    5000.0  0.56  0.75  0.29  0.29  
